Day,Solar,Wind,Bio,Water,Total_Gen,Grid_Loss,Demand,Balance
124,6868.72,1177.53,12.40,53.40,8112.04,746.31,2810.00,4555.73
125,5049.06,2107.03,12.40,53.40,7221.88,664.41,2865.60,3691.87
126,4448.06,1206.17,12.40,53.40,5720.03,526.24,2445.29,2748.50
127,4796.96,1943.22,12.40,53.40,6805.98,626.15,2261.03,3918.80
128,4982.40,1621.54,12.40,53.40,6669.74,613.62,2803.91,3252.22
129,5802.46,1976.11,12.40,53.40,7844.37,721.68,2880.43,4242.26
130,3579.11,1212.32,12.40,53.40,4857.24,446.87,2899.49,1510.88
131,3039.30,589.74,12.40,53.40,3694.85,339.93,2872.02,482.90
132,4357.07,1395.84,12.40,53.40,5818.71,535.32,2805.37,2478.02
133,4994.26,1161.61,12.40,53.40,6221.67,572.39,2357.64,3291.64
134,4875.84,485.24,12.40,53.40,5426.88,499.27,2156.25,2771.36
135,5011.83,996.30,12.40,53.40,6073.93,558.80,2727.45,2787.68
136,3552.66,2693.10,12.40,53.40,6311.56,580.66,2859.72,2871.17
137,5582.95,1985.17,12.40,53.40,7633.92,702.32,2836.12,4095.48
138,6464.76,681.25,12.40,53.40,7211.80,663.49,2188.72,4359.60
139,5550.62,1223.88,12.40,53.40,6840.30,629.31,2414.79,3796.21
140,5210.33,1951.22,12.40,53.40,7227.36,664.92,2287.69,4274.75
141,5942.08,1515.82,12.40,53.40,7523.70,692.18,2174.23,4657.28
142,6276.00,1341.34,12.40,53.40,7683.14,706.85,2733.07,4243.22
143,3522.82,2587.81,12.40,53.40,6176.43,568.23,2818.84,2789.36
144,4471.53,1043.33,12.40,53.40,5580.65,513.42,2762.77,2304.46
145,6544.99,1225.24,12.40,53.40,7836.04,720.92,2751.18,4363.94
146,7282.32,1372.88,12.40,53.40,8721.00,802.33,2692.79,5225.88
147,7680.89,591.12,12.40,53.40,8337.82,767.08,2189.77,5380.97
148,7373.73,706.82,12.40,53.40,8146.35,749.46,1977.17,5419.72
149,7301.39,1342.57,12.40,53.40,8709.76,801.30,2030.97,5877.49
150,7018.32,1007.88,12.40,53.40,8092.00,744.46,2590.38,4757.16
151,7725.62,1249.64,12.40,53.40,9041.07,831.78,2718.23,5491.06
152,6884.90,1606.09,12.40,53.40,8556.80,787.23,2770.75,4998.82
153,6858.52,1225.48,12.40,53.40,8149.80,749.78,2680.99,4719.03
154,7834.59,998.83,12.40,53.40,8899.22,818.73,2238.58,5841.92
155,7670.30,635.88,12.40,53.40,8371.98,770.22,2082.27,5519.49
156,7003.14,633.04,12.40,53.40,7701.98,708.58,2627.09,4366.31
157,5699.81,618.60,12.40,53.40,6384.21,587.35,2713.76,3083.11
158,6047.71,504.83,12.40,53.40,6618.34,608.89,2696.76,3312.69
159,6139.83,741.80,12.40,53.40,6947.43,639.16,2353.06,3955.21
160,7162.59,1229.82,12.40,53.40,8458.21,778.15,2507.02,5173.04
161,6881.57,1719.24,12.40,53.40,8666.62,797.33,2330.99,5538.30
162,7474.52,1734.63,12.40,53.40,9274.96,853.30,2196.07,6225.59
163,7643.30,1573.52,12.40,53.40,9282.61,854.00,2765.25,5663.36
164,7737.71,1717.58,12.40,53.40,9521.09,875.94,2803.31,5841.84
165,6886.08,1247.90,12.40,53.40,8199.78,754.38,2770.86,4674.54
166,6379.73,559.89,12.40,53.40,7005.42,644.50,2757.77,3603.15
167,5460.03,647.20,12.40,53.40,6173.03,567.92,2722.93,2882.18
168,6635.77,258.78,12.40,53.40,6960.35,640.35,2305.07,4014.92
169,6788.54,251.34,12.40,53.40,7105.68,653.72,2170.32,4281.63
170,5292.29,1249.28,12.40,53.40,6607.37,607.88,2741.87,3257.62
171,5894.25,749.43,12.40,53.40,6709.48,617.27,2845.10,3247.10
172,5752.48,966.69,12.40,53.40,6784.97,624.22,2878.80,3281.96
173,5625.35,982.47,12.40,53.40,6673.61,613.97,2831.36,3228.28
174,3558.11,1743.90,12.40,53.40,5367.81,493.84,2735.18,2138.79
175,7075.88,361.29,12.40,53.40,7502.97,690.27,2283.57,4529.13
176,7173.02,234.89,12.40,53.40,7473.71,687.58,2133.54,4652.59
177,6412.95,2222.97,12.40,53.40,8701.73,800.56,2763.88,5137.29
178,5483.96,1950.72,12.40,53.40,7500.49,690.04,2822.66,3987.78
179,5645.89,821.54,12.40,53.40,6533.24,601.06,2784.84,3147.34
180,5255.94,391.40,12.40,53.40,5713.14,525.61,2793.56,2393.96
181,3711.24,507.41,12.40,53.40,4284.45,394.17,2725.08,1165.21
182,4279.35,2393.60,12.40,53.40,6738.75,619.97,2331.32,3787.47
183,5481.15,2729.25,12.40,53.40,8276.21,761.41,2212.86,5301.94
184,5090.15,2986.20,12.40,53.40,8142.16,749.08,2772.08,4621.00
185,6169.32,2404.81,12.40,53.40,8639.93,794.87,2830.51,5014.54
186,5060.15,3411.84,12.40,53.40,8537.80,785.48,2830.69,4921.63
187,6646.95,1112.26,12.40,53.40,7825.00,719.90,2747.85,4357.26
188,7824.52,397.41,12.40,53.40,8287.73,762.47,2676.52,4848.74
189,7160.25,1086.79,12.40,53.40,8312.84,764.78,2306.00,5242.05
190,6883.72,854.13,12.40,53.40,7803.65,717.94,2201.82,4883.89
191,5607.76,891.66,12.40,53.40,6565.21,604.00,2758.99,3202.22
192,7086.71,1046.34,12.40,53.40,8198.85,754.29,2801.47,4643.09
193,5407.02,2174.78,12.40,53.40,7647.60,703.58,2819.95,4124.07
194,5681.53,1572.94,12.40,53.40,7320.27,673.46,2763.84,3882.96
195,6328.36,559.14,12.40,53.40,6953.30,639.70,2686.39,3627.20
196,5821.34,2241.79,12.40,53.40,8128.94,747.86,2388.00,4993.07
197,5914.88,2235.37,12.40,53.40,8216.05,755.88,2172.67,5287.51
198,5991.63,2048.77,12.40,53.40,8106.21,745.77,2691.89,4668.54
199,6404.33,753.79,12.40,53.40,7223.93,664.60,2741.41,3817.92
200,5286.29,625.47,12.40,53.40,5977.55,549.93,2711.97,2715.64
201,5805.87,1015.08,12.40,53.40,6886.75,633.58,2712.34,3540.83
202,4201.22,504.91,12.40,53.40,4771.93,439.02,2626.12,1706.80
203,5552.84,1208.15,12.40,53.40,6826.79,628.06,2224.88,3973.84
204,4399.46,2529.93,12.40,53.40,6995.19,643.56,2150.64,4200.99
205,3908.05,1984.74,12.40,53.40,5958.59,548.19,2679.30,2731.09
206,3857.64,1358.62,12.40,53.40,5282.06,485.95,2686.57,2109.54
207,4819.83,1515.68,12.40,53.40,6401.31,588.92,2668.23,3144.16
208,2715.22,1697.59,12.40,53.40,4478.61,412.03,2693.17,1373.41
209,3779.06,1194.14,12.40,53.40,5039.00,463.59,2643.55,1931.86
210,4278.61,1226.51,12.40,53.40,5570.92,512.52,2251.53,2806.87
211,4791.81,1972.37,12.40,53.40,6829.98,628.36,2099.50,4102.13
212,3469.99,2726.77,12.40,53.40,6262.56,576.16,2658.64,3027.76
213,3674.76,2652.37,12.40,53.40,6392.94,588.15,2686.72,3118.07
214,3066.75,2551.23,12.40,53.40,5683.78,522.91,2739.12,2421.76
215,4491.16,3478.23,12.40,53.40,8035.18,739.24,2728.07,4567.87
216,4112.50,998.77,12.40,53.40,5177.07,476.29,2606.47,2094.31
217,4190.53,464.64,12.40,53.40,4720.97,434.33,2198.88,2087.76
218,3092.78,1312.57,12.40,53.40,4471.15,411.35,2132.16,1927.65
219,3587.83,3526.52,12.40,53.40,7180.16,660.57,2658.30,3861.29
220,4865.15,3186.14,12.40,53.40,8117.10,746.77,2677.98,4692.35
221,4254.79,1663.26,12.40,53.40,5983.86,550.51,2684.68,2748.66
222,6487.22,484.39,12.40,53.40,7037.41,647.44,2653.83,3736.14
223,6723.11,407.66,12.40,53.40,7196.57,662.08,2597.20,3937.28
224,4032.39,988.57,12.40,53.40,5086.76,467.98,2314.55,2304.22
225,5042.18,790.93,12.40,53.40,5898.91,542.70,2113.62,3242.59
226,5642.54,416.28,12.40,53.40,6124.62,563.47,2606.63,2954.53
227,4928.28,846.94,12.40,53.40,5841.02,537.37,2652.00,2651.65
228,5207.16,425.79,12.40,53.40,5698.76,524.29,2677.45,2497.03
229,4296.75,906.76,12.40,53.40,5269.32,484.78,2723.02,2061.51
230,6208.14,736.48,12.40,53.40,7010.42,644.96,2677.32,3688.14
231,5403.36,1061.79,12.40,53.40,6530.95,600.85,2336.81,3593.29
232,6094.97,332.54,12.40,53.40,6493.32,597.39,2147.18,3748.76
233,6051.96,237.98,12.40,53.40,6355.74,584.73,2696.13,3074.88
234,5663.96,340.28,12.40,53.40,6070.04,558.44,2751.79,2759.81
235,6124.52,275.96,12.40,53.40,6466.29,594.90,2723.30,3148.09
236,5074.76,416.83,12.40,53.40,5557.40,511.28,2766.57,2279.54
237,3227.44,927.23,12.40,53.40,4220.48,388.28,2748.76,1083.44
238,4212.96,1056.76,12.40,53.40,5335.52,490.87,2314.09,2530.56
239,2414.21,678.05,12.40,53.40,3158.06,290.54,2135.05,732.47
240,2708.48,780.12,12.40,53.40,3554.40,327.00,2677.79,549.61
241,2400.06,294.59,12.40,53.40,2760.45,253.96,2744.75,-238.27
242,3761.53,679.52,12.40,53.40,4506.85,414.63,2720.39,1371.84
243,4241.52,1629.45,12.40,53.40,5936.77,546.18,2731.25,2659.33
244,3675.20,826.41,12.40,53.40,4567.41,420.20,2735.23,1411.98
245,5229.69,222.84,12.40,53.40,5518.33,507.69,2273.16,2737.49
246,4811.59,535.53,12.40,53.40,5412.92,497.99,2135.07,2779.85
247,6278.84,625.94,12.40,53.40,6970.59,641.29,2645.47,3683.83
248,6167.59,929.61,12.40,53.40,7163.01,659.00,2750.75,3753.26
249,6209.84,707.44,12.40,53.40,6983.09,642.44,2764.99,3575.65
250,6345.89,1525.97,12.40,53.40,7937.66,730.26,2789.11,4418.28
251,6217.83,870.83,12.40,53.40,7154.47,658.21,2737.06,3759.19
252,6030.82,244.25,12.40,53.40,6340.88,583.36,2345.57,3411.95
253,5736.99,99.33,12.40,53.40,5902.12,543.00,2174.90,3184.23
254,5753.12,400.87,12.40,53.40,6219.78,572.22,2761.10,2886.47
255,4659.64,459.23,12.40,53.40,5184.67,476.99,2869.59,1838.10
256,2593.87,1352.87,12.40,53.40,4012.54,369.15,2880.28,763.11
257,4787.01,316.48,12.40,53.40,5169.30,475.58,2785.07,1908.65
258,5709.39,812.19,12.40,53.40,6587.38,606.04,2715.50,3265.84
259,5494.77,627.71,12.40,53.40,6188.28,569.32,2325.60,3293.36
260,4811.92,735.69,12.40,53.40,5613.42,516.43,2170.13,2926.85
261,2630.14,2536.06,12.40,53.40,5232.00,481.34,2811.19,1939.47
262,4168.83,3215.52,12.40,53.40,7450.14,685.41,2780.44,3984.29
263,4917.43,2595.18,12.40,53.40,7578.41,697.21,2775.98,4105.21
264,4061.08,1910.38,12.40,53.40,6037.26,555.43,2860.11,2621.72
265,2171.40,1619.91,12.40,53.40,3857.12,354.85,2760.39,741.87
266,3504.06,1595.12,12.40,53.40,5164.98,475.18,2316.55,2373.26
267,4887.85,1040.41,12.40,53.40,5994.06,551.45,2115.82,3326.79
268,5318.99,1580.55,12.40,53.40,6965.34,640.81,2711.45,3613.08
269,5084.29,303.28,12.40,53.40,5453.37,501.71,2777.79,2173.87
270,4751.74,571.17,12.40,53.40,5388.71,495.76,2798.79,2094.16
271,4571.66,1382.81,12.40,53.40,6020.28,553.87,2831.87,2634.54
272,3215.02,2011.94,12.40,53.40,5292.75,486.93,2783.40,2022.42
273,3869.41,1366.97,12.40,53.40,5302.18,487.80,2357.47,2456.90
274,4109.98,985.46,12.40,53.40,5161.24,474.83,2141.97,2544.44
275,4375.41,825.05,12.40,53.40,5266.27,484.50,2481.90,2299.86
276,2753.26,3736.45,12.40,53.40,6555.51,603.11,2322.90,3629.50
277,3714.56,3078.79,12.40,53.40,6859.15,631.04,2796.81,3431.30
278,2763.57,2335.63,12.40,53.40,5165.01,475.18,2893.79,1796.03
279,3703.38,3068.22,12.40,53.40,6837.41,629.04,2836.58,3371.79
280,2344.82,3213.64,12.40,53.40,5624.26,517.43,2435.52,2671.31
281,2542.86,832.85,12.40,53.40,3441.51,316.62,2212.57,912.32
282,1403.76,1481.61,12.40,53.40,2951.17,271.51,2810.05,-130.38
283,3254.65,1356.57,12.40,53.40,4677.03,430.29,2894.33,1352.41
284,3776.09,3657.59,12.40,53.40,7499.48,689.95,2909.37,3900.15
285,1682.20,1804.57,12.40,53.40,3552.57,326.84,2967.87,257.87
286,2822.08,3467.29,12.40,53.40,6355.18,584.68,2872.08,2898.42
287,2404.85,3668.82,12.40,53.40,6139.47,564.83,2462.93,3111.72
288,2616.10,3135.80,12.40,53.40,5817.70,535.23,2377.70,2904.77
289,3263.46,1262.90,12.40,53.40,4592.16,422.48,2916.07,1253.61
290,2740.76,648.04,12.40,53.40,3454.60,317.82,2976.22,160.56
291,2928.78,2280.88,12.40,53.40,5275.46,485.34,3027.44,1762.67
292,1172.87,2866.07,12.40,53.40,4104.74,377.64,3078.22,648.88
293,819.62,3647.93,12.40,53.40,4533.35,417.07,3010.18,1106.10
294,2489.56,2624.82,12.40,53.40,5180.18,476.58,2495.92,2207.69
295,2656.63,2576.02,12.40,53.40,5298.45,487.46,2353.79,2457.20
296,2392.97,935.20,12.40,53.40,3393.98,312.25,2927.99,153.75
297,656.05,1823.99,12.40,53.40,2545.84,234.22,3043.65,-732.02
298,1983.29,1811.73,12.40,53.40,3860.83,355.20,3019.73,485.90
299,1004.22,1429.38,12.40,53.40,2499.41,229.95,3059.97,-790.51
300,1067.06,1449.56,12.40,53.40,2582.42,237.58,2985.41,-640.57
301,1656.94,2076.21,12.40,53.40,3798.95,349.50,2511.16,938.28
302,1477.66,4212.55,12.40,53.40,5756.01,529.55,2555.23,2671.23
303,1776.18,2498.12,12.40,53.40,4340.10,399.29,2866.43,1074.38
304,1101.49,2591.15,12.40,53.40,3758.44,345.78,2856.12,556.54
305,2063.60,2678.43,12.40,53.40,4807.83,442.32,2622.45,1743.06
306,799.90,4393.26,12.40,53.40,5258.96,483.82,3032.04,1743.10
307,1158.51,3334.03,12.40,53.40,4558.34,419.37,2975.04,1163.94
308,1967.50,3964.68,12.40,53.40,5997.98,551.81,2637.35,2808.82
309,1086.84,3511.03,12.40,53.40,4663.66,429.06,2462.06,1772.54
310,1824.61,4460.85,12.40,53.40,6351.27,584.32,3077.73,2689.22
311,1442.65,3553.70,12.40,53.40,5062.15,465.72,3141.06,1455.37
312,1665.98,3986.55,12.40,53.40,5718.33,526.09,3180.17,2012.08
313,1117.36,3355.79,12.40,53.40,4538.95,417.58,3183.86,937.50
314,1243.10,2740.20,12.40,53.40,4049.10,372.52,3094.27,582.32
315,1182.83,1696.72,12.40,53.40,2945.35,270.97,2619.35,55.03
316,1277.72,833.36,12.40,53.40,2176.89,200.27,2480.64,-504.03
317,601.33,2804.65,12.40,53.40,3471.78,319.40,3090.32,62.05
318,688.10,4472.60,12.40,53.40,5226.50,480.84,3158.78,1586.88
319,1094.90,2698.61,12.40,53.40,3859.31,355.06,3156.00,348.26
320,934.51,2140.34,12.40,53.40,3140.65,288.94,3192.92,-341.21
321,974.93,1230.52,12.40,53.40,2271.25,208.95,3128.28,-1065.99
322,1079.91,1913.43,12.40,53.40,3059.15,281.44,2681.53,96.18
323,1104.25,4018.10,12.40,53.40,5188.15,477.31,2546.43,2164.41
324,959.99,2226.51,12.40,53.40,3252.30,299.21,3039.60,-86.52
325,644.03,1223.66,12.40,53.40,1933.49,177.88,3175.54,-1419.93
326,1071.09,1793.30,12.40,53.40,2930.19,269.58,3212.13,-551.52
327,841.85,4948.85,12.40,53.40,5856.50,538.80,3255.60,2062.10
328,813.16,4681.02,12.40,53.40,5559.98,511.52,3205.41,1843.05
329,639.94,2749.66,12.40,53.40,3455.40,317.90,2795.43,342.08
330,754.85,1082.42,12.40,53.40,1903.07,175.08,2598.11,-870.12
331,468.30,2072.48,12.40,53.40,2606.57,239.80,3232.00,-865.23
332,296.55,1945.84,12.40,53.40,2308.19,212.35,3370.73,-1274.89
333,407.18,2281.89,12.40,53.40,2754.87,253.45,3385.91,-884.49
334,308.04,326.41,12.40,53.40,700.25,64.42,3341.14,-2705.31
335,120.26,450.16,12.40,53.40,636.21,58.53,3286.97,-2709.29
336,171.07,426.47,12.40,53.40,663.34,61.03,2872.18,-2269.87
337,416.23,1080.48,12.40,53.40,1562.51,143.75,2719.93,-1301.17
338,122.43,2373.60,12.40,53.40,2561.83,235.69,3342.68,-1016.54
339,262.80,2651.92,12.40,53.40,2980.53,274.21,3353.16,-646.84
340,168.80,1141.49,12.40,53.40,1376.09,126.60,3322.46,-2072.97
341,731.01,777.44,12.40,53.40,1574.25,144.83,3307.64,-1878.22
342,222.44,1941.53,12.40,53.40,2229.77,205.14,3212.31,-1187.68
343,539.58,3232.06,12.40,53.40,3837.44,353.04,2735.98,748.42
344,593.31,4189.75,12.40,53.40,4848.87,446.10,2573.48,1829.30
345,505.78,3329.98,12.40,53.40,3901.57,358.94,3072.32,470.30
346,536.69,1333.89,12.40,53.40,1936.38,178.15,3139.39,-1381.15
347,532.58,2146.54,12.40,53.40,2744.91,252.53,3154.42,-662.04
348,369.59,717.67,12.40,53.40,1153.07,106.08,3110.81,-2063.83
349,465.74,1666.55,12.40,53.40,2198.09,202.22,3032.91,-1037.04
350,886.65,3307.97,12.40,53.40,4260.43,391.96,2688.09,1180.38
351,1241.37,3442.17,12.40,53.40,4749.34,436.94,2558.52,1753.89
352,1353.27,3659.67,12.40,53.40,5078.74,467.24,3103.37,1508.13
353,884.22,3495.76,12.40,53.40,4445.77,409.01,3118.20,918.56
354,583.70,4492.28,12.40,53.40,5141.78,473.04,3042.74,1626.00
355,173.03,5640.77,12.40,53.40,5879.59,540.92,2980.06,2358.61
356,394.59,5471.88,12.40,53.40,5932.27,545.77,2890.45,2496.05
357,230.00,3956.09,12.40,53.40,4251.89,391.17,2575.17,1285.54
358,238.95,4842.01,12.40,53.40,5146.77,473.50,2391.96,2281.31
359,650.08,4191.77,12.40,53.40,4907.66,451.50,2288.87,2167.28
360,671.28,4461.30,12.40,53.40,5198.38,478.25,2337.46,2382.67
361,1162.13,2493.56,12.40,53.40,3721.50,342.38,2511.77,867.35
